department_id,department_name,factory_id
1,3D Printing Operation & Off-site Construction,1
2,Advance Measurement & Analysis,1
3,Alternative Fuel Sourcing,1
4,Analytical and Testing Lab,1
5,Autonomous Maintenance,1
6,BSE - CSC,1
7,BSE South Chain,1
8,CS Operation,1
9,Cement Plant - TS,1
10,Co-Creation and Operation Development,1
11,Construction Solution System & Process,1
12,Contractor Management,1
13,Costing - CBM Process,1
14,Data Driven,1
15,Digital Transformation,1
16,E2E Supply Chain,1
17,Electrical Engineering,1
18,Green Fuel Sourcing,1
19,Human Capital,1
20,License to Operate,1
21,Local Supply Chain Transformation,1
22,MRO - TS,1
23,Maintenance Repair Overhaul - STS,1
24,Maintenance Repair Overhaul - South,1
25,Maintenance Repair and Overhaul,1
26,Maintenance Strategic Management,1
27,Maintenance Workshop Service,1
28,Mining & Circularity Operation - TS,1
29,New Business,1
30,New Value Chain Innovation,1
31,Operation & Supervision - Lower,1
32,Operation Excellence,1
33,Operation and Maintenance Service,1
34,Operations,1
35,Operations - TS,1
36,People Management - TS,1
37,Process Excellence,1
38,Quality Assurance - TS,1
39,Quarry,1
40,Reliability Center,1
41,Renewable Energy,1
42,Safety and Environmental Management,1
43,Smart Maintenance Service,1
44,Smart TPM - TS,1
45,Smart TP²M,1
46,Solar Solution,1
47,South Chain,1
48,Strategic People Management,1
49,Sustainability - TS,1
50,Sustainable Development - TS,1
51,Value-Based Co-Creation,1
1,3D Printing,2
2,Alternative Fuel Sourcing - Saraburi,2
3,Analytic and Testing Lab,2
4,Autonomous Maintenance,2
5,Autonomous Maintenance - KW,2
6,Business Stakeholder Engagement,2
7,Cement Plant Saraburi,2
8,Center of Excellence & Data Driven,2
9,Clinkering,2
10,Command Center,2
11,Customer Fulfillment,2
12,Customer Fulfilment,2
13,Data Driven-SRB,2
14,DfMA Expert,2
15,ESG - Saraburi,2
16,Ecosystem Management,2
17,Focus Improvement,2
18,Focus Improvement & Execution team,2
19,Green Circularity,2
20,Green Fuel Sourcing,2
21,Human Capabilities and Engagement,2
22,Human Resources Management,2
23,ID 4.0,2
24,ID4.0,2
25,Industrial Expertise Solution,2
26,License to Operate - Saraburi,2
27,Maintenance Reliability System,2
28,Maintenance Repair Overhaul,2
29,Manufacturing Excellence,2
30,Mineral and Sourcing Business,2
31,Mining Operation,2
32,Plant Maintenance - Electrical,2
33,Plant Maintenance - Mechanical,2
34,Plant Maintenance – Electrical,2
35,Quality Control - KW,2
36,Quality Control - TL,2
37,RMC East,2
38,Ready-Mixed Concrete Business,2
39,Shutdown - Mechanical,2
40,Shutdown Maintenance,2
41,Shutdown – Refractory,2
42,Smart Factory Management,2
43,Smart Green Business - Heavy Industrial,2
44,Smart UIIM,2
45,Special Machine Maintenance,2
46,Store and Procurement -Saraburi,2
47,กระจายถ่านหินวัดบันได,2
1,Analytical and Testing Lab,3
2,Autonomous maintenance,3
3,Business Performance Excellence - Saraburi,3
4,Business Stakeholder Engagement,3
5,Cement Plant Saraburi,3
6,Center of Excellence,3
7,Center of Excellence & Data Driven,3
8,Contractor Management,3
9,Data Analysis and Regulation,3
10,Digital Transformation,3
11,Digitalization,3
12,Electrical Expertise Service,3
13,Environmental Social and Governance,3
14,Facility Management,3
15,Government Liaison,3
16,Green Fuel Sourcing,3
17,HR Business Partner,3
18,HRM,3
19,Human Capital,3
20,License to Operate,3
21,Local Supply Chain Transformation,3
22,MRO - KK,3
23,Maintenance Repair Overhaul,3
24,Maintenance Repair Overhaul - Northeast,3
25,Maintenance Repair and Overhaul - Domestic,3
26,Maintenance Strategic Management,3
27,Maintenance Technology Management,3
28,Maintenance Workshop Service,3
29,Mineral and Sourcing Business,3
30,Mining & Circularity Operation - KK,3
31,Operation and Maintenance Service,3
32,Operations,3
33,Operations - KK,3
34,Operations - Mortar,3
35,People Management - KK,3
36,People Management -Green Solution Business,3
37,Quality Assurance - KK,3
38,Quarry,3
39,Reliability Center,3
40,Smart Green Business - Heavy Industrial,3
41,Smart Grid and Thermal Technology,3
42,Smart Maintenance Service,3
43,Smart TPM - KK,3
44,Store and Procurement-แก่งคอย,3
45,Sustainable Development - Saraburi,3
46,Waste to Value Complex,3
47,จัดหาและพัสดุวัตถุดิบ,3
48,พัสดุอะไหล่และทั่วไป,3
49,แก่งคอย,3
