section_id,section_name,department_id
1,-,1
2,BIM & Customer Value Creation - Lower,1
3,Smart Store,1
4,-,1.0
5,CAD,10.0
6,-,100.0
7,-,101.0
8,-,102.0
9,-,103.0
10,-,104.0
11,CS Operation,11.0
12,Construction Management,11.0
13,Design and Engineering,11.0
14,Drawing and Eco-System Management,11.0
15,Cement Plant - TS,12.0
16,Industry 4.0,12.0
17,Mining & Circularity Operation - TS,12.0
18,Operations - TS,12.0
19,พัสดุ,12.0
20,Co-Creation and Operation Development,13.0
21,Construction Solution System & Process,14.0
22,Contractor Management,15.0
23,0,16.0
24,Grey Cement - STS,16.0
25,Digital Transformation,17.0
26,E2E Value Creation,17.0
27,Value-Based Customer Creation,17.0
28,-,18.0
29,Digital Transformation,18.0
30,IT Share Service,18.0
31,Store Management,18.0
32,E2E Supply Chain,19.0
33,-,2.0
34,-,20.0
35,Green Fuel Sourcing - South,21.0
36,Human Capital,22.0
37,Community & Government Relation,23.0
38,License to Operate,23.0
39,Safety & Environment,23.0
40,-,24.0
41,Industry 4.0,25.0
42,MD Office,25.0
43,บริการงานจ้างเหมา,25.0
44,พัสดุ,25.0
45,เทคโนโลยีสารสนเทศ,25.0
46,-,26.0
47,Alternative Fuel & Solar,26.0
48,Cement Mill & Packer & Mortar,26.0
49,Cement Mill & Packer & Mortar & RDF,26.0
50,Civil,26.0
51,Customer Design Solution,26.0
52,Kiln,26.0
53,Kiln & WHG,26.0
54,Lignite Mill & Alternative Fuel,26.0
55,Lignite Mill & WHG,26.0
56,Measurement and Analysis,26.0
57,Project Execution,26.0
58,Raw Material & Raw Mill,26.0
59,Workshop,26.0
60,Maintenance Overhaul and Consultancy - Electrical,27.0
61,Maintenance Overhaul and Consultancy - Mechanical,27.0
62,Maintenance Overhaul and Consultancy - Refractory,27.0
63,Maintenance Repair Overhaul - STS,27.0
64,Maintenance Repair Overhaul - South,27.0
65,Measurement and Analysis,27.0
66,Plant Maintenance,27.0
67,Maintenance Overhaul and Consultancy,28.0
68,Maintenance Repair Overhaul - South,28.0
69,Plant Maintenance,28.0
70,MRO - TS,29.0
71,0,3.0
72,Maintenance Strategic Management,30.0
73,Maintenance Workshop Service,31.0
74,-,32.0
75,Fuel and Biomass Preparation,32.0
76,Mine Maintenance,32.0
77,Mine Operation,32.0
78,Mine Planning And Rehabilitation,32.0
79,Mine Processing,32.0
80,Raw Material Preparation,32.0
81,Smart Mining and Service Solution,32.0
82,Waste Preparation,32.0
83,New Business,33.0
84,-,34.0
85,-,35.0
86,-,36.0
